"GEO_ID","NAME","H013001","H013002","H013003","H013004","H013005","H013006","H013007","H013008"
"id","Geographic Area Name","Total","Total!!1-person household","Total!!2-person household","Total!!3-person household","Total!!4-person household","Total!!5-person household","Total!!6-person household","Total!!7-or-more-person household"
"0400000US01","Alabama","1883791","516696","632291","322941","245326","106771","37510","22256"
"0400000US02","Alaska","258058","66073","83852","41891","34124","18122","7546","6450"
"0400000US04","Arizona","2380990","621008","814955","344326","296655","164944","77095","62007"
"0400000US05","Arkansas","1147084","310792","402111","186450","142819","65311","24496","15105"
"0400000US06","California","12577498","2929442","3653802","2043812","1883451","1040408","507471","519112"
"0400000US22","Louisiana","1728360","464334","553276","301380","231047","110627","41476","26220"
"0400000US21","Kentucky","1719965","473447","591547","290441","219764","93848","32726","18192"
"0400000US08","Colorado","1972868","550794","673027","301196","256692","115994","45650","29515"
"0400000US09","Connecticut","1371087","373648","443095","226658","197116","84916","29348","16306"
"0400000US10","Delaware","342297","87496","117500","56966","45778","20945","8164","5448"
"0400000US11","District of Columbia","266707","117431","77845","32679","20274","9913","4572","3993"
"0400000US12","Florida","7420802","2021781","2643162","1152686","900377","419230","168395","115171"
"0400000US13","Georgia","3585584","909474","1130138","620894","515518","244075","98120","67365"
"0400000US15","Hawaii","455338","106175","139162","76348","60942","33338","17541","21832"
"0400000US16","Idaho","579408","137785","204131","87542","75327","41323","20622","12678"
"0400000US17","Illinois","4836972","1346312","1509908","756467","659731","330647","134192","99715"
"0400000US18","Indiana","2502154","671920","854193","398466","326993","155435","59151","35996"
"0400000US19","Iowa","1221576","347479","445876","173412","147285","69530","24579","13415"
"0400000US20","Kansas","1112096","309338","382396","166121","140905","70093","27289","15954"
"0400000US23","Maine","557219","159533","213695","84340","64010","23840","7854","3947"
"0400000US24","Maryland","2156411","563003","679538","368919","303341","141659","57319","42632"
"0400000US25","Massachusetts","2547075","732263","813166","417216","353676","150842","51409","28503"
"0400000US26","Michigan","3872508","1079678","1307449","603482","504315","234074","88972","54538"
"0400000US27","Minnesota","2087227","584008","724386","307794","274621","123002","44258","29158"
"0400000US28","Mississippi","1115768","293807","356795","194682","150650","72933","27883","19018"
"0400000US29","Missouri","2375611","672276","822516","370462","296548","134977","49861","28971"
"0400000US30","Montana","409607","121775","153975","57046","44407","20466","7563","4375"
"0400000US31","Nebraska","721130","206807","251160","103607","87977","44352","17207","10020"
"0400000US32","Nevada","1006250","258409","332747","157436","128617","70709","32758","25574"
"0400000US33","New Hampshire","518973","133057","188923","85046","70835","27365","9286","4461"
"0400000US34","New Jersey","3214360","811221","957682","558029","506107","231727","87444","62150"
"0400000US35","New Mexico","791395","221347","260244","121352","98041","52997","21845","15569"
"0400000US36","New York","7317755","2130670","2215770","1176503","969467","470263","192977","162105"
"0400000US37","North Carolina","3745155","1011348","1287934","627435","486969","209317","76642","45510"
"0400000US38","North Dakota","281192","88563","102531","38513","30558","13982","4700","2345"
"0400000US39","Ohio","4603435","1328550","1568090","720134","575012","262007","95599","54043"
"0400000US40","Oklahoma","1460450","401153","502657","229958","182567","88893","34343","20879"
"0400000US41","Oregon","1518938","416747","548344","229273","182750","83789","34329","23706"
"0400000US42","Pennsylvania","5018904","1433415","1705503","804124","637442","276410","99988","62022"
"0400000US44","Rhode Island","413600","122488","133513","67339","54010","23314","8232","4704"
"0400000US45","South Carolina","1801181","477894","623419","304098","231903","103014","37833","23020"
"0400000US46","South Dakota","322282","94638","115675","44573","37271","18648","7013","4464"
"0400000US47","Tennessee","2493552","671286","859346","419516","318385","139975","52038","33006"
"0400000US48","Texas","8922933","2163266","2703417","1482329","1312995","716376","310605","233945"
"0400000US49","Utah","877692","164018","256969","140050","132454","90201","54189","39811"
"0400000US50","Vermont","256442","72233","96889","39695","31210","11107","3480","1828"
"0400000US51","Virginia","3056058","795117","1024641","520503","420101","182216","69216","44264"
"0400000US53","Washington","2620076","711619","904232","406397","338260","151893","62772","44903"
"0400000US54","West Virginia","763831","217308","278337","124879","89437","35982","11812","6076"
"0400000US55","Wisconsin","2279768","642507","817250","339536","284532","124387","44504","27052"
"0400000US56","Wyoming","226879","63480","83568","33043","26654","12444","4825","2865"
"0400000US72","Puerto Rico","1376531","327560","391452","280818","227988","99560","31434","17719"
